node1,node1_type,node1_size,node2,node2_type,node2_size
"ABL1","gene","22","AFF1","gene","15"
"ABL1","gene","22","TCF3","gene","15"
"ABL1","gene","22","PBX1","gene","15"
"ABL1","gene","22","MYC","gene","15"
"ABL1","gene","22","ETV6","gene","15"
"ABL1","gene","22","RUNX1","gene","15"
"ABL1","gene","22","Vincristine","drug","15"
"ABL1","gene","22","Prednisone","drug","15"
"ABL1","gene","22","Daunorubicin","drug","15"
"ABL1","gene","22","Asparaginase","drug","15"
"ABL1","gene","22","Methotrexate","drug","15"
"ABL1","gene","22","Cyclophosphamide","drug","15"
"ABL1","gene","22","Doxorubicin","drug","15"
"ABL1","gene","22","Dexamethasone","drug","15"
"ABL1","gene","22","Cytarabine","drug","15"
"ABL1","gene","22","6-mercaptopurine","drug","15"
"ABL1","gene","22","MECOM","gene","15"
"ABL1","gene","22","CDKN2A","gene","15"
"ABL1","gene","22","TP53","gene","15"
"ABL1","gene","22","RB1","gene","15"
"ABL1","gene","22","Imatinib mesylate (Gleevec)","drug","15"
"ABL1","gene","22","Nilotinib","drug","15"
"ABL1","gene","22","Dasatinib","drug","15"
"ABL1","gene","22","rs2070997","snp","15"
"KMT2A","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"KMT2A","gene","22","BCR","gene","15"
"KMT2A","gene","22","ABL1","gene","15"
"KMT2A","gene","22","Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia)","disease","15"
"KMT2A","gene","22","NOTCH1","gene","15"
"KMT2A","gene","22","TAL1","gene","15"
"KMT2A","gene","22","LYL1","gene","15"
"KMT2A","gene","22","Schizophrenia","disease","15"
"KMT2A","gene","22","AFF1","gene","15"
"KMT2A","gene","22","TCF3","gene","15"
"KMT2A","gene","22","PBX1","gene","15"
"KMT2A","gene","22","MYC","gene","15"
"KMT2A","gene","22","ETV6","gene","15"
"KMT2A","gene","22","RUNX1","gene","15"
"KMT2A","gene","22","Vincristine","drug","15"
"KMT2A","gene","22","Prednisone","drug","15"
"KMT2A","gene","22","Daunorubicin","drug","15"
"KMT2A","gene","22","Asparaginase","drug","15"
"KMT2A","gene","22","Methotrexate","drug","15"
"KMT2A","gene","22","Cyclophosphamide","drug","15"
"KMT2A","gene","22","Doxorubicin","drug","15"
"KMT2A","gene","22","Dexamethasone","drug","15"
"KMT2A","gene","22","Cytarabine","drug","15"
"KMT2A","gene","22","6-mercaptopurine","drug","15"
"KMT2A","gene","22","MLLT1","gene","15"
"KMT2A","gene","22","TLX1","gene","15"
"KMT2A","gene","22","LMO2","gene","15"
"KMT2A","gene","22","TLX3","gene","15"
"KMT2A","gene","22","rs7948661","snp","15"
"AFF1","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"AFF1","gene","22","BCR","gene","15"
"AFF1","gene","22","ABL1","gene","15"
"AFF1","gene","22","KMT2A","gene","15"
"AFF1","gene","22","Triglycerides","disease","15"
"AFF1","gene","22","Alzheimer's disease (cognitive decline)","disease","15"
"AFF1","gene","22","Systemic lupus erythematosus","disease","15"
"AFF1","gene","22","Loss of teeth or edentulism","disease","15"
"AFF1","gene","22","Fracture of ankle and foot","disease","15"
"AFF1","gene","22","Dermatophytosis","disease","15"
"AFF1","gene","22","Abnormal heart sounds","disease","15"
"AFF1","gene","22","Bursitis","disease","15"
"AFF1","gene","22","Chronic rheumatic disease of the heart valves","disease","15"
"AFF1","gene","22","Dermatophytosis / Dermatomycosis","disease","15"
"AFF1","gene","22","Other acquired musculoskeletal deformity","disease","15"
"AFF1","gene","22","Flat foot","disease","15"
"AFF1","gene","22","Ventricular fibrillation & flutter","disease","15"
"AFF1","gene","22","Insulin pump user","disease","15"
"AFF1","gene","22","Fracture of foot","disease","15"
"AFF1","gene","22","Abnormality of red blood cells","disease","15"
"AFF1","gene","22","Adverse effects of antirheumatics","disease","15"
"AFF1","gene","22","Functional disorders of bladder","disease","15"
"AFF1","gene","22","Polycystic ovary syndrome","disease","15"
"AFF1","gene","22","Hyperventilation","disease","15"
"AFF1","gene","22","Dyschromia and Vitiligo","disease","15"
"AFF1","gene","22","Abnormal reflex","disease","15"
"AFF1","gene","22","Acute sinusitis","disease","15"
"AFF1","gene","22","Hearing impairment","disease","15"
"AFF1","gene","22","Toxic effect of venom","disease","15"
"AFF1","gene","22","Paroxysmal supraventricular tachycardia","disease","15"
"AFF1","gene","22","Dyspepsia and disorders of function of stomach","disease","15"
"AFF1","gene","22","Acquired deformities of ankle and foot","disease","15"
"AFF1","gene","22","Other derangement of joint","disease","15"
"AFF1","gene","22","Fracture of ribs","disease","15"
"AFF1","gene","22","Other diseases of the teeth and supporting structures","disease","15"
"AFF1","gene","22","Hallux valgus (Bunion)","disease","15"
"AFF1","gene","22","Spondylosis without myelopathy","disease","15"
"AFF1","gene","22","Keratitis, infectious","disease","15"
"AFF1","gene","22","Other disorders of bladder","disease","15"
"AFF1","gene","22","Anemia in chronic kidney disease","disease","15"
"AFF1","gene","22","Stress fracture","disease","15"
"AFF1","gene","22","Occlusion and stenosis of precerebral arteries","disease","15"
"AFF1","gene","22","Microscopic hematuria","disease","15"
"AFF1","gene","22","Calcaneal spur; Exostosis NOS","disease","15"
"AFF1","gene","22","Atrophic gastritis","disease","15"
"AFF1","gene","22","Symptoms involving nervous and musculoskeletal systems","disease","15"
"AFF1","gene","22","Portal hypertension","disease","15"
"AFF1","gene","22","Anticoagulants causing adverse effects","disease","15"
"AFF1","gene","22","Mitral valve stenosis and/or aortic valve stenosis","disease","15"
"AFF1","gene","22","Congenital anomalies of face and neck","disease","15"
"AFF1","gene","22","Abnormal results of function studies","disease","15"
"AFF1","gene","22","Congenital anomalies of posterior segment of eye","disease","15"
"AFF1","gene","22","Renal dialysis","disease","15"
"AFF1","gene","22","Nerve root and plexus disorders","disease","15"
"AFF1","gene","22","Anorexia","disease","15"
"AFF1","gene","22","E. coli","disease","15"
"AFF1","gene","22","Rash and other nonspecific skin eruption","disease","15"
"AFF1","gene","22","Jaundice","disease","15"
"AFF1","gene","22","Gastritis","disease","15"
"AFF1","gene","22","Abnormal movement","disease","15"
"AFF1","gene","22","Cerebrovascular disease","disease","15"
"AFF1","gene","22","Hallux rigidus","disease","15"
"AFF1","gene","22","TCF3","gene","15"
"AFF1","gene","22","PBX1","gene","15"
"AFF1","gene","22","MYC","gene","15"
"AFF1","gene","22","ETV6","gene","15"
"AFF1","gene","22","RUNX1","gene","15"
"AFF1","gene","22","Vincristine","drug","15"
"AFF1","gene","22","Prednisone","drug","15"
"AFF1","gene","22","Daunorubicin","drug","15"
"AFF1","gene","22","Asparaginase","drug","15"
"AFF1","gene","22","Methotrexate","drug","15"
"AFF1","gene","22","Cyclophosphamide","drug","15"
"AFF1","gene","22","Doxorubicin","drug","15"
"AFF1","gene","22","Dexamethasone","drug","15"
"AFF1","gene","22","Cytarabine","drug","15"
"AFF1","gene","22","6-mercaptopurine","drug","15"
"AFF1","gene","22","rs442177","snp","15"
"AFF1","gene","22","rs340635","snp","15"
"AFF1","gene","22","rs340630","snp","15"
"TCF3","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"TCF3","gene","22","BCR","gene","15"
"TCF3","gene","22","ABL1","gene","15"
"TCF3","gene","22","KMT2A","gene","15"
"TCF3","gene","22","AFF1","gene","15"
"TCF3","gene","22","Hodgkin lymphoma","disease","15"
"TCF3","gene","22","PBX1","gene","15"
"TCF3","gene","22","MYC","gene","15"
"TCF3","gene","22","ETV6","gene","15"
"TCF3","gene","22","RUNX1","gene","15"
"TCF3","gene","22","Vincristine","drug","15"
"TCF3","gene","22","Prednisone","drug","15"
"TCF3","gene","22","Daunorubicin","drug","15"
"TCF3","gene","22","Asparaginase","drug","15"
"TCF3","gene","22","Methotrexate","drug","15"
"TCF3","gene","22","Cyclophosphamide","drug","15"
"TCF3","gene","22","Doxorubicin","drug","15"
"TCF3","gene","22","Dexamethasone","drug","15"
"TCF3","gene","22","Cytarabine","drug","15"
"TCF3","gene","22","6-mercaptopurine","drug","15"
"TCF3","gene","22","rs1860661","snp","15"
"PBX1","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"PBX1","gene","22","BCR","gene","15"
"PBX1","gene","22","ABL1","gene","15"
"PBX1","gene","22","KMT2A","gene","15"
"PBX1","gene","22","AFF1","gene","15"
"PBX1","gene","22","TCF3","gene","15"
"PBX1","gene","22","Breast cancer (prognosis)","disease","15"
"PBX1","gene","22","Height","disease","15"
"PBX1","gene","22","rs667065","snp","15"
"PBX1","gene","22","Psoriatic arthritis","disease","15"
"PBX1","gene","22","Other unspecified back disorders","disease","15"
"PBX1","gene","22","Cholelithiasis with acute cholecystitis","disease","15"
"PBX1","gene","22","Secondary malignant neoplasm","disease","15"
"PBX1","gene","22","Allergy/adverse effect of penicillin","disease","15"
"PBX1","gene","22","Ill-defined descriptions and complications of heart disease","disease","15"
"PBX1","gene","22","Fracture of unspecified bones","disease","15"
"PBX1","gene","22","Type 2 diabetic ketoacidosis","disease","15"
"PBX1","gene","22","Chronic ulcer of leg or foot","disease","15"
"PBX1","gene","22","Poisoning by agents affecting the cardiovascular system","disease","15"
"PBX1","gene","22","Chronic ulcer of skin","disease","15"
"PBX1","gene","22","Noninfectious disorders of lymphatic channels","disease","15"
"PBX1","gene","22","Poisoning by antibiotics","disease","15"
"PBX1","gene","22","Diseases of hair and hair follicles","disease","15"
"PBX1","gene","22","Primary/intrinsic cardiomyopathies","disease","15"
"PBX1","gene","22","Coronary artery disease","disease","15"
"PBX1","gene","22","Fracture of upper limb","disease","15"
"PBX1","gene","22","Prostatitis","disease","15"
"PBX1","gene","22","Cardiomyopathy","disease","15"
"PBX1","gene","22","Fracture of radius and ulna","disease","15"
"PBX1","gene","22","Other disorders of bone and cartilage","disease","15"
"PBX1","gene","22","Hyperplasia of prostate","disease","15"
"PBX1","gene","22","Other specified peripheral vascular diseases","disease","15"
"PBX1","gene","22","Angina pectoris","disease","15"
"PBX1","gene","22","Chronic ischemic heart disease","disease","15"
"PBX1","gene","22","Gallstones","disease","15"
"PBX1","gene","22","Osteoarthrosis; localized, secondary","disease","15"
"PBX1","gene","22","stress incontinence, female","disease","15"
"PBX1","gene","22","Hypertensive heart and/or renal disease","disease","15"
"PBX1","gene","22","Pyogenic arthritis","disease","15"
"PBX1","gene","22","Retinal detachments and defects","disease","15"
"PBX1","gene","22","Symptoms involving nervous and musculoskeletal systems","disease","15"
"PBX1","gene","22","Atrial fibrillation/atrial flutter","disease","15"
"PBX1","gene","22","Ischemic Heart Disease","disease","15"
"PBX1","gene","22","Gram negative septicemia","disease","15"
"PBX1","gene","22","Hypoparathyroidism","disease","15"
"PBX1","gene","22","Swelling of limb","disease","15"
"PBX1","gene","22","Eustachian tube disorders","disease","15"
"PBX1","gene","22","Disorders of external ear","disease","15"
"PBX1","gene","22","Benign neoplasm of bone and articular cartilage","disease","15"
"PBX1","gene","22","Hemorrhage or hematoma complicating a procedure","disease","15"
"PBX1","gene","22","Essential hypertension","disease","15"
"PBX1","gene","22","Sexually transmitted infections","disease","15"
"PBX1","gene","22","Hemorrhage in early pregnancy","disease","15"
"PBX1","gene","22","Atrial fibrillation","disease","15"
"PBX1","gene","22","Sulfonamides","disease","15"
"PBX1","gene","22","Mechanical complications of cardiac/vascular device, implant, and graft","disease","15"
"PBX1","gene","22","Heart failure","disease","15"
"PBX1","gene","22","Oral cancer","disease","15"
"PBX1","gene","22","Hypertension exacerbated in pregnancy","disease","15"
"PBX1","gene","22","Type 2 diabetic peripheral circulatory disorders","disease","15"
"PBX1","gene","22","Tachycardia NOS","disease","15"
"PBX1","gene","22","Heart failure NOS","disease","15"
"PBX1","gene","22","Postmenopausal atrophic vaginitis","disease","15"
"PBX1","gene","22","Toxic effect of venom","disease","15"
"PBX1","gene","22","Occlusion and stenosis of precerebral arteries","disease","15"
"PBX1","gene","22","Spondylosis and allied disorders","disease","15"
"PBX1","gene","22","Atrial fibrillation & flutter","disease","15"
"PBX1","gene","22","Diabetes mellitus","disease","15"
"PBX1","gene","22","Type II diabetes mellitus","disease","15"
"PBX1","gene","22","Joint effusions","disease","15"
"PBX1","gene","22","Follicular lymphoma","disease","15"
"PBX1","gene","22","Biliary cirrhosis","disease","15"
"PBX1","gene","22","Infertility, female","disease","15"
"PBX1","gene","22","Circumscribed scleroderma","disease","15"
"PBX1","gene","22","Diseases of the tongue","disease","15"
"PBX1","gene","22","Vitamin B12 deficiency anaemia, including: Hereditary intrinsic factor deficiency (IFD); Imerslund-Grasbeck syndrome (IGS)/ Megaloblastic anemia 1","disease","15"
"PBX1","gene","22","Superficial cellulitis and abscess","disease","15"
"PBX1","gene","22","Chorioretinal scars","disease","15"
"PBX1","gene","22","Unequal leg length (acquired)","disease","15"
"PBX1","gene","22","Epiphora","disease","15"
"PBX1","gene","22","Bronchiectasis","disease","15"
"PBX1","gene","22","Early or threatened labor; hemorrhage in early pregnancy","disease","15"
"PBX1","gene","22","Blister","disease","15"
"PBX1","gene","22","Adverse effects of insulins and antidiabetic agents","disease","15"
"PBX1","gene","22","Other specified diseases of hair and hair follicles","disease","15"
"PBX1","gene","22","Myocardial infarction","disease","15"
"PBX1","gene","22","Frequency of urination and polyuria","disease","15"
"PBX1","gene","22","Spinal stenosis of lumbar region","disease","15"
"PBX1","gene","22","Spinal stenosis","disease","15"
"PBX1","gene","22","Loose body in joint","disease","15"
"PBX1","gene","22","Orchitis and epididymitis","disease","15"
"PBX1","gene","22","Type I diabetes mellitus","disease","15"
"PBX1","gene","22","Uveitis","disease","15"
"PBX1","gene","22","Obsessive-compulsive disorder","disease","15"
"PBX1","gene","22","Atherosclerosis of the extremities","disease","15"
"PBX1","gene","22","Secondary malignant neoplasm of liver","disease","15"
"PBX1","gene","22","Diffuse large B cell lymphoma","disease","15"
"PBX1","gene","22","Open wound of eye or eyelid","disease","15"
"PBX1","gene","22","Shingles","disease","15"
"PBX1","gene","22","Pityriasis","disease","15"
"PBX1","gene","22","MYC","gene","15"
"PBX1","gene","22","ETV6","gene","15"
"PBX1","gene","22","RUNX1","gene","15"
"PBX1","gene","22","Vincristine","drug","15"
"PBX1","gene","22","Prednisone","drug","15"
"PBX1","gene","22","Daunorubicin","drug","15"
"PBX1","gene","22","Asparaginase","drug","15"
"PBX1","gene","22","Methotrexate","drug","15"
"PBX1","gene","22","Cyclophosphamide","drug","15"
"PBX1","gene","22","Doxorubicin","drug","15"
"PBX1","gene","22","Dexamethasone","drug","15"
"PBX1","gene","22","Cytarabine","drug","15"
"PBX1","gene","22","6-mercaptopurine","drug","15"
"PBX1","gene","22","rs1387389","snp","15"
"PBX1","gene","22","rs6670655","snp","15"
"MYC","gene","22","Acute lymphoblastic leukemia (ALL) (precursor B lymphoblastic leukemia)","disease","15"
"MYC","gene","22","BCR","gene","15"
"MYC","gene","22","ABL1","gene","15"
"MYC","gene","22","KMT2A","gene","15"
"MYC","gene","22","AFF1","gene","15"
"MYC","gene","22","TCF3","gene","15"
"MYC","gene","22","PBX1","gene","15"
"MYC","gene","22","Acute lymphoblastic leukemia (ALL) (precursor T lymphoblastic leukemia)","disease","15"
"MYC","gene","22","NOTCH1","gene","15"
"MYC","gene","22","TAL1","gene","15"
"MYC","gene","22","LYL1","gene","15"
"MYC","gene","22","MLLT1","gene","15"
"MYC","gene","22","TLX1","gene","15"
"MYC","gene","22","Burkitt lymphoma","disease","15"
"MYC","gene","22","Multiple myeloma","disease","15"
"MYC","gene","22","CCND1","gene","15"
"MYC","gene","22","CCND3","gene","15"
"MYC","gene","22","FGFR3","gene","15"
"MYC","gene","22","WHSC1","gene","15"
"MYC","gene","22","MAF","gene","15"
"MYC","gene","22","NRAS","gene","15"
"MYC","gene","22","KRAS","gene","15"
"MYC","gene","22","Small cell lung cancer","disease","15"
"MYC","gene","22","Oral cancer","disease","15"
"MYC","gene","22","EGFR","gene","15"
"MYC","gene","22","Penile cancer","disease","15"
"MYC","gene","22","BMI1","gene","15"
"MYC","gene","22","MDM2","gene","15"
"MYC","gene","22","HRAS","gene","15"
"MYC","gene","22","Ovarian cancer","disease","15"
"MYC","gene","22","BRCA1","gene","15"
"MYC","gene","22","BRCA2","gene","15"
"MYC","gene","22","MSH2","gene","15"
"MYC","gene","22","MLH1","gene","15"
"MYC","gene","22","ERBB2","gene","15"
"MYC","gene","22","AKT2","gene","15"
"MYC","gene","22","PIK3CA","gene","15"
"MYC","gene","22","Choriocarcinoma","disease","15"
"MYC","gene","22","Breast cancer","disease","15"
"MYC","gene","22","Osteosarcoma","disease","15"
"MYC","gene","22","TSPAN31","gene","15"
"MYC","gene","22","CDKN2B","gene","15"
"MYC","gene","22","Kaposi's sarcoma","disease","15"
"MYC","gene","22","Laryngeal cancer","disease","15"
"MYC","gene","22","rs964288","snp","15"
"MYC","gene","22","Bladder cancer","disease","15"
"MYC","gene","22","Urinary bladder cancer","disease","15"
"MYC","gene","22","Cancer of the upper aerodigestive tract","disease","15"
"MYC","gene","22","Epiphora","disease","15"
"MYC","gene","22","Other local infections of skin and subcutaneous tissue","disease","15"
"MYC","gene","22","Abnormal glucose","disease","15"
"MYC","gene","22","Unspecified local infection of skin and subcutaneous tissue","disease","15"
"MYC","gene","22","Hepatic cancer","disease","15"
"MYC","gene","22","Other specified diseases of the salivary glands","disease","15"
"MYC","gene","22","Light-headedness and vertigo","disease","15"
"MYC","gene","22","Vertiginous syndromes and other disorders of vestibular system","disease","15"
"MYC","gene","22","Cancer of kidney and renal pelvis","disease","15"
"MYC","gene","22","Secondary malignant neoplasm","disease","15"
"MYC","gene","22","Attention deficit hyperactivity disorder","disease","15"
"MYC","gene","22","Suicidal ideation","disease","15"
"MYC","gene","22","Mycoses","disease","15"
"MYC","gene","22","Phlebitis and thrombophlebitis of lower extremities","disease","15"
"MYC","gene","22","Actinic keratosis","disease","15"
"MYC","gene","22","Macular puckering of retina","disease","15"
"MYC","gene","22","Decreased libido","disease","15"
"MYC","gene","22","Other infectious diseases","disease","15"
"MYC","gene","22","Gram negative septicemia","disease","15"
"MYC","gene","22","Viral pneumonia","disease","15"
"MYC","gene","22","Atrophy of edentulous alveolar ridge","disease","15"
"MYC","gene","22","Graves' disease","disease","15"
"MYC","gene","22","Ulcerative colitis","disease","15"
"MYC","gene","22","Decubitus ulcer","disease","15"
"MYC","gene","22","Abnormality of red blood cells","disease","15"
"MYC","gene","22","Sexual and gender identity disorders","disease","15"
"MYC","gene","22","Uterine cancer","disease","15"
"MYC","gene","22","Hepatic cancer, primary","disease","15"
"MYC","gene","22","Nontoxic uninodular goiter","disease","15"
"MYC","gene","22","Contact and allergic dermatitis of eyelid","disease","15"
"MYC","gene","22","Patellar fracture","disease","15"
"MYC","gene","22","Decreased white blood cell count","disease","15"
"MYC","gene","22","Colostomy and enterostomy complication","disease","15"
"MYC","gene","22","Neutropenic disorders, including the following three diseases: Kostmann syndrome; Cyclic neutropenia; X-linked neutropenia/myelodysplasia","disease","15"
"MYC","gene","22","Systemic lupus erythematosus","disease","15"
"MYC","gene","22","Cellulitis and abscess of foot/toes","disease","15"
"MYC","gene","22","Aneurysm of iliac artery","disease","15"
"MYC","gene","22","Cervicocranial/Cervicobrachial syndrome","disease","15"
"MYC","gene","22","Discoid lupus erythematosus","disease","15"
